model,qformat,tp,mps_percentage,batch_size,input_len,output_len,seq_len,prefill_time,decode_time,ttft,tpot,e2e
qwen-3-32b,fp8_kv8,1,100,1,256,256,512,0.0441518168983748,10.33696229030611,0.0460113286972045,0.0405371070208082,10.38298990726471
qwen-3-32b,fp8_kv8,1,100,2,256,256,512,0.0444848340994212,10.489852179850278,0.0650490283966064,0.0411366752150991,10.554860973358156
qwen-3-32b,fp8_kv8,1,100,4,256,256,512,0.0687051719272858,10.813943958321032,0.1000160872936248,0.0424076233659648,10.913776928186415
qwen-3-32b,fp8_kv8,1,100,8,256,256,512,0.1265082774640177,10.674670558325309,0.1657870411872863,0.0418614531699031,10.84016451239586
qwen-3-32b,fp8_kv8,1,100,16,256,256,512,0.2830339199452282,10.959100217895866,0.3261775985360146,0.0429768635995916,11.284764550626278
qwen-3-32b,fp8_kv8,1,100,32,256,256,512,0.5218479261887297,11.083177367902044,0.5836958959698677,0.0434634406584393,11.665791469812394
qwen-3-32b,fp8_kv8,2,100,1,256,256,512,0.0579186279996065,11.544647075700777,0.0597037315368652,0.0452731257870618,11.604288053512573
qwen-3-32b,fp8_kv8,2,100,2,256,256,512,0.0507258485002239,12.482446195950615,0.0726646780967712,0.0489507693958847,12.554971039295197
qwen-3-32b,fp8_kv8,2,100,4,256,256,512,0.0525468083758823,12.26461506239939,0.081500369310379,0.0480965296564681,12.3458893597126
qwen-3-32b,fp8_kv8,2,100,8,256,256,512,0.0850832698995873,12.593752176663385,0.1280438780784606,0.0493872634378956,12.72144766151905
qwen-3-32b,fp8_kv8,2,100,16,256,256,512,0.1576513652256835,12.531898375863468,0.2051601156592369,0.04914469951319,12.736331455409529
qwen-3-32b,fp8_kv8,2,100,32,256,256,512,0.329440957288034,12.6198265724252,0.3789470747113228,0.0494895159702949,12.997763645648956
qwen-3-32b,fp8_kv8,4,100,1,256,256,512,0.0586588995014608,11.763134196196916,0.0606512784957885,0.0461299380243016,11.823747992515564
qwen-3-32b,fp8_kv8,4,100,2,256,256,512,0.0507036015500489,12.270339428849912,0.0733037948608398,0.0481189781523525,12.343473100662232
qwen-3-32b,fp8_kv8,4,100,4,256,256,512,0.072083164074138,12.713260475150491,0.1163886785507202,0.0498559234319627,12.822612601518632
qwen-3-32b,fp8_kv8,4,100,8,256,256,512,0.0920086262998665,12.62706862096402,0.1379973739385604,0.0495179161606432,12.760217055678368
qwen-3-32b,fp8_kv8,4,100,16,256,256,512,0.111323744601259,12.734693390080247,0.1597586646676063,0.049939974078746,12.893782730400565
qwen-3-32b,fp8_kv8,4,100,32,256,256,512,0.2279418386531233,12.68146517023697,0.276760146766901,0.0497312359617136,12.957238464057443
qwen-3-32b,org,2,100,1,256,256,512,0.0521164650999708,10.200310452299892,0.0538283109664916,0.0400012174599995,10.254037427902222
qwen-3-32b,org,2,100,2,256,256,512,0.0460105141497479,10.89793187925061,0.0663740396499633,0.0427369877617671,10.964136159420011
qwen-3-32b,org,2,100,4,256,256,512,0.0508194944501156,10.833078743524856,0.0778594672679901,0.0424826617393131,10.91070897579193
qwen-3-32b,org,2,100,8,256,256,512,0.1007912959998975,10.897922474125426,0.1396660715341568,0.0427369508789232,11.03723220527172
qwen-3-32b,org,2,100,16,256,256,512,0.1948256167127965,11.2553201567614,0.2446781486272811,0.0441385104186721,11.499294973909857
qwen-3-32b,org,2,100,32,256,256,512,0.4135181315018599,10.873510982016365,0.466241142898798,0.042641219537319,11.33874074369669
qwen-3-32b,org,4,100,1,256,256,512,0.0523820517002604,10.257648271100331,0.0543789148330688,0.0402260716513738,10.311937522888185
qwen-3-32b,org,4,100,2,256,256,512,0.0473248968999541,11.093700198950682,0.0629606485366821,0.0435047066625517,11.156500017642974
qwen-3-32b,org,4,100,4,256,256,512,0.047321640674636,10.970327949075,0.0765201032161712,0.0430208939179411,11.046595442295075
qwen-3-32b,org,4,100,8,256,256,512,0.0628301580873085,11.096072166337398,0.1034218579530716,0.0435140084954407,11.19912405014038
